Home,Away,PredWinner,PredWinProb
Detroit Pistons,Dallas Mavericks,Home,0.58
Detroit Pistons,Los Angeles Lakers,Away,0.49333333333333335
Detroit Pistons,Utah Jazz,Home,0.9033333333333333
Detroit Pistons,Los Angeles Clippers,Home,0.5666666666666667
Detroit Pistons,Golden State Warriors,Home,0.61
Detroit Pistons,Phoenix Suns,Home,0.76
Detroit Pistons,New Orleans Hornets,Home,0.6366666666666667
Detroit Pistons,New Jersey Nets,Home,0.83
Detroit Pistons,San Antonio Spurs,Home,0.8066666666666666
Detroit Pistons,Memphis Grizzlies,Away,0.43666666666666665
Detroit Pistons,Boston Celtics,Away,0.20333333333333334
Detroit Pistons,Toronto Raptors,Home,0.64
Detroit Pistons,Orlando Magic,Home,0.7266666666666667
Detroit Pistons,Cleveland Cavaliers,Away,0.37
Detroit Pistons,Minnesota Timberwolves,Home,0.6566666666666666
Detroit Pistons,Charlotte Bobcats,Home,0.53
Detroit Pistons,Miami Heat,Home,0.57
Detroit Pistons,Denver Nuggets,Away,0.49
Detroit Pistons,Seattle SuperSonics,Home,0.6133333333333333
Detroit Pistons,Chicago Bulls,Home,0.6533333333333333
Detroit Pistons,Portland Trail Blazers,Home,0.68
Detroit Pistons,Philadelphia 76ers,Home,0.8533333333333334
Detroit Pistons,Milwaukee Bucks,Home,0.5233333333333333
Detroit Pistons,Houston Rockets,Away,0.37
Detroit Pistons,Indiana Pacers,Home,0.5566666666666666
Detroit Pistons,New York Knicks,Home,0.6666666666666666
Detroit Pistons,Washington Wizards,Home,0.9433333333333334
Detroit Pistons,Sacramento Kings,Away,0.2833333333333333
Detroit Pistons,Atlanta Hawks,Home,0.5133333333333333
Detroit Pistons,New Orleans/Oklahoma City Hornets,Home,0.6366666666666667
Detroit Pistons,Oklahoma City Thunder,Away,0.4266666666666667
Detroit Pistons,Brooklyn Nets,Home,0.9033333333333333
Detroit Pistons,New Orleans Pelicans,Home,0.88
Detroit Pistons,Charlotte Hornets,Home,0.9333333333333333
Dallas Mavericks,Detroit Pistons,Away,0.48
Dallas Mavericks,Los Angeles Lakers,Away,0.45666666666666667
